nom_du_trail,date_du_trail,distance_du_trail_en_kms,num_dossard,vitesse_moyenne,classement_general,femme_ou_homme,categorie_age_ffa
Trail de Cheverny 35k,06/04/2025,34.7,7442,14.5,1,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7329,13.5,2,H,M1
Trail de Cheverny 35k,06/04/2025,34.7,7073,13.4,3,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7403,13.3,4,H,M0
Trail de Cheverny 35k,06/04/2025,34.7,7032,13.3,5,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7321,12.7,6,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7076,12.6,7,H,M1
Trail de Cheverny 35k,06/04/2025,34.7,7093,12.5,8,H,M0
Trail de Cheverny 35k,06/04/2025,34.7,7026,12.4,9,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7523,12.4,10,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7415,12.1,11,H,M2
Trail de Cheverny 35k,06/04/2025,34.7,7466,12.0,12,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7386,11.9,13,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7124,11.9,14,H,M4
Trail de Cheverny 35k,06/04/2025,34.7,7077,11.8,15,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7459,11.8,16,H,M2
Trail de Cheverny 35k,06/04/2025,34.7,7223,11.7,17,H,M0
Trail de Cheverny 35k,06/04/2025,34.7,7190,11.7,18,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7116,11.6,19,H,M1
Trail de Cheverny 35k,06/04/2025,34.7,7452,11.5,20,H,M1
Trail de Cheverny 35k,06/04/2025,34.7,7170,11.5,21,H,M2
Trail de Cheverny 35k,06/04/2025,34.7,7015,11.4,22,H,M1
Trail de Cheverny 35k,06/04/2025,34.7,7425,11.4,23,H,M1
Trail de Cheverny 35k,06/04/2025,34.7,7498,11.4,24,H,M2
Trail de Cheverny 35k,06/04/2025,34.7,7074,11.4,25,F,SE
Trail de Cheverny 35k,06/04/2025,34.7,7399,11.4,26,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7371,11.4,27,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7106,11.3,28,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7337,11.3,29,F,M2
Trail de Cheverny 35k,06/04/2025,34.7,7426,11.2,30,H,M0
Trail de Cheverny 35k,06/04/2025,34.7,7409,11.2,31,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7091,11.2,32,H,ES
Trail de Cheverny 35k,06/04/2025,34.7,7401,11.2,33,H,M4
Trail de Cheverny 35k,06/04/2025,34.7,7488,11.1,34,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7002,11.0,35,H,M2
Trail de Cheverny 35k,06/04/2025,34.7,7521,11.0,36,H,M1
Trail de Cheverny 35k,06/04/2025,34.7,7520,11.0,37,H,M3
Trail de Cheverny 35k,06/04/2025,34.7,7100,11.0,38,H,ES
Trail de Cheverny 35k,06/04/2025,34.7,7082,10.9,39,H,M3
Trail de Cheverny 35k,06/04/2025,34.7,7436,10.9,40,H,M2
Trail de Cheverny 35k,06/04/2025,34.7,7003,10.9,41,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7004,10.9,42,F,SE
Trail de Cheverny 35k,06/04/2025,34.7,7025,10.9,43,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7234,10.8,44,H,M2
Trail de Cheverny 35k,06/04/2025,34.7,7519,10.8,45,H,M4
Trail de Cheverny 35k,06/04/2025,34.7,7163,10.7,46,H,M0
Trail de Cheverny 35k,06/04/2025,34.7,7141,10.6,47,H,M5
Trail de Cheverny 35k,06/04/2025,34.7,7444,10.5,48,H,M4
Trail de Cheverny 35k,06/04/2025,34.7,7185,10.5,49,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7055,10.5,50,H,M3
Trail de Cheverny 35k,06/04/2025,34.7,7062,10.5,51,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7491,10.5,52,H,M3
Trail de Cheverny 35k,06/04/2025,34.7,7472,10.5,53,F,M2
Trail de Cheverny 35k,06/04/2025,34.7,7506,10.4,54,H,M1
Trail de Cheverny 35k,06/04/2025,34.7,7341,10.4,55,F,M3
Trail de Cheverny 35k,06/04/2025,34.7,7128,10.4,56,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7078,10.3,57,H,M0
Trail de Cheverny 35k,06/04/2025,34.7,7377,10.3,58,F,M0
Trail de Cheverny 35k,06/04/2025,34.7,7199,10.2,59,H,M5
Trail de Cheverny 35k,06/04/2025,34.7,7490,10.2,60,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7449,10.2,61,H,M0
Trail de Cheverny 35k,06/04/2025,34.7,7120,10.2,62,H,M3
Trail de Cheverny 35k,06/04/2025,34.7,7343,10.2,63,H,M3
Trail de Cheverny 35k,06/04/2025,34.7,7384,10.2,64,H,M4
Trail de Cheverny 35k,06/04/2025,34.7,7473,10.2,65,F,SE
Trail de Cheverny 35k,06/04/2025,34.7,7392,10.2,66,H,M2
Trail de Cheverny 35k,06/04/2025,34.7,7376,10.2,67,H,M1
Trail de Cheverny 35k,06/04/2025,34.7,7047,10.1,68,H,M3
Trail de Cheverny 35k,06/04/2025,34.7,7351,10.1,69,F,M1
Trail de Cheverny 35k,06/04/2025,34.7,7505,10.1,70,H,ES
Trail de Cheverny 35k,06/04/2025,34.7,7239,10.1,71,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7504,10.1,72,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7275,10.1,73,H,M3
Trail de Cheverny 35k,06/04/2025,34.7,7187,10.0,74,H,M4
Trail de Cheverny 35k,06/04/2025,34.7,7416,10.0,75,H,M1
Trail de Cheverny 35k,06/04/2025,34.7,7456,10.0,76,H,M5
Trail de Cheverny 35k,06/04/2025,34.7,7320,10.0,77,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7178,10.0,78,F,M2
Trail de Cheverny 35k,06/04/2025,34.7,7177,10.0,79,H,M2
Trail de Cheverny 35k,06/04/2025,34.7,7266,9.9,80,H,M3
Trail de Cheverny 35k,06/04/2025,34.7,7486,9.9,81,H,M2
Trail de Cheverny 35k,06/04/2025,34.7,7017,9.9,82,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7355,9.9,83,H,M5
Trail de Cheverny 35k,06/04/2025,34.7,7134,9.9,84,H,M1
Trail de Cheverny 35k,06/04/2025,34.7,7153,9.8,85,H,M0
Trail de Cheverny 35k,06/04/2025,34.7,7147,9.8,86,H,M1
Trail de Cheverny 35k,06/04/2025,34.7,7372,9.8,87,H,M3
Trail de Cheverny 35k,06/04/2025,34.7,7421,9.8,88,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7013,9.8,89,H,M1
Trail de Cheverny 35k,06/04/2025,34.7,7522,9.8,90,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7222,9.8,91,F,M0
Trail de Cheverny 35k,06/04/2025,34.7,7028,9.8,92,H,M1
Trail de Cheverny 35k,06/04/2025,34.7,7427,9.8,93,H,M4
Trail de Cheverny 35k,06/04/2025,34.7,7492,9.7,94,H,M2
Trail de Cheverny 35k,06/04/2025,34.7,7389,9.7,95,H,M4
Trail de Cheverny 35k,06/04/2025,34.7,7509,9.7,96,H,ES
Trail de Cheverny 35k,06/04/2025,34.7,7503,9.7,97,H,M2
Trail de Cheverny 35k,06/04/2025,34.7,7451,9.7,98,F,SE
Trail de Cheverny 35k,06/04/2025,34.7,7200,9.7,99,F,M2
Trail de Cheverny 35k,06/04/2025,34.7,7201,9.7,100,H,M2
Trail de Cheverny 35k,06/04/2025,34.7,7328,9.7,101,F,M6
Trail de Cheverny 35k,06/04/2025,34.7,7327,9.7,102,H,M6
Trail de Cheverny 35k,06/04/2025,34.7,7290,9.7,103,H,M3
Trail de Cheverny 35k,06/04/2025,34.7,7396,9.7,104,H,M2
Trail de Cheverny 35k,06/04/2025,34.7,7137,9.6,105,H,M2
Trail de Cheverny 35k,06/04/2025,34.7,7417,9.6,106,H,M2
Trail de Cheverny 35k,06/04/2025,34.7,7059,9.6,107,H,M1
Trail de Cheverny 35k,06/04/2025,34.7,7097,9.6,108,F,M1
Trail de Cheverny 35k,06/04/2025,34.7,7043,9.6,109,H,M2
Trail de Cheverny 35k,06/04/2025,34.7,7296,9.6,110,H,M6
Trail de Cheverny 35k,06/04/2025,34.7,7257,9.6,111,H,M2
Trail de Cheverny 35k,06/04/2025,34.7,7362,9.6,112,H,M3
Trail de Cheverny 35k,06/04/2025,34.7,7394,9.6,113,H,M3
Trail de Cheverny 35k,06/04/2025,34.7,7516,9.5,114,H,M1
Trail de Cheverny 35k,06/04/2025,34.7,7105,9.5,115,F,SE
Trail de Cheverny 35k,06/04/2025,34.7,7353,9.5,116,H,M3
Trail de Cheverny 35k,06/04/2025,34.7,7208,9.5,117,H,M4
Trail de Cheverny 35k,06/04/2025,34.7,7259,9.5,118,H,M3
Trail de Cheverny 35k,06/04/2025,34.7,7020,9.5,119,F,M5
Trail de Cheverny 35k,06/04/2025,34.7,7364,9.5,120,H,M2
Trail de Cheverny 35k,06/04/2025,34.7,7037,9.5,121,F,M0
Trail de Cheverny 35k,06/04/2025,34.7,7060,9.5,122,H,SE
Trail de Cheverny 35k,06/04/2025,34.7,7219,9.5,123,H,M0
Trail de Cheverny 35k,06/04/2025,34.7,7164,9.5,124,F,M1
Trail de Cheverny 35k,06/04/2025,34.7,7031,9.4,125,F,SE
Trail de Cheverny 35k,06/04/2025,34.7,7293,9.4,126,F,M0
Trail de Cheverny 35k,06/04/2025,34.7,7094,9.4,127,F,SE
Trail de Cheverny 35k,06/04/2025,34.7,7233,9.4,128,F,SE
