date_de_la_course,nom_evenement,distance_course,classement,vitesse_moyenne,femmes_hommes,categorie_age
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,52,11.1,H,M1
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,86,9.4,H,M2
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,35,11.9,H,M2
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,77,10.0,F,M4
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,84,9.6,H,M3
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,23,12.5,H,M2
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,76,10.2,H,SE
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,85,9.6,H,M2
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,65,10.6,H,M1
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,20,12.5,H,SE
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,66,10.6,H,M6
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,26,12.2,H,M2
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,56,10.9,H,M1
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,25,12.4,H,M1
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,90,9.1,H,M5
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,30,12.1,H,M5
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,28,12.2,F,M2
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,50,11.2,H,M0
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,42,11.7,F,SE
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,39,11.8,H,M1
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,18,12.6,H,M1
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,5,14.7,H,SE
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,62,10.7,H,M5
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,16,12.9,H,M2
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,75,10.2,H,M0
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,43,11.6,H,M0
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,8,14.0,H,M3
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,19,12.6,H,SE
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,22,12.5,H,M1
